Date,Items,Type,Total,Wallet,
26-Dec-15,The Orange Box,Purchase,$4.99 ,,
,,Visa **69,,,
26-Dec-15,Steam Community Market,3 Market Transactions,$0.12 ,$0.12 ,$11.10 
,,Wallet,Credit,,
26-Dec-15,Hitman Collection (ROW),Purchase,$5.99 ,($5.99),$10.98 
,,Wallet,,,
26-Dec-15,Purchased $5.00 Wallet Credit,Purchase,$5.00 ,$5.00 ,$16.97 
,,Visa **69,,,
26-Dec-15,"Papers, Please",Purchase,$3.99 ,($3.99),$11.97 
,,Wallet,,,
25-Dec-15,Steam Community Market,4 Market Transactions,$0.24 ,$0.24 ,$15.96 
,,Wallet,Credit,,
25-Dec-15,XCOM: Complete,Purchase,$9.99 ,($9.99),$15.72 
,,Wallet,,,
25-Dec-15,Steam Community Market,Market Transaction,$0.08 ,$0.08 ,$25.71 
,,Wallet,Credit,,
25-Dec-15,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$25.63 
,,Retail,,,
25-Dec-15,Fallout: New Vegas,Gift Purchase,$2.49 ,($2.49),$5.63 
,Picture,Wallet,,,
,Gift sent to mostlyindignant,,,,
25-Dec-15,Reus,Purchase,$1.99 ,($1.99),$8.12 
,,Wallet,,,
25-Dec-15,Purchased $10.00 Wallet Credit,Purchase,$10.00 ,$10.00 ,$10.11 
,,Visa **69,,,
25-Dec-15,Total War: ATTILA released,Purchase,$20.27 ,($20.27),$0.11 
,Fallout: New Vegas,Wallet,,,
,Fallout 3 (NA),,,,
25-Dec-15,Purchased $20.00 Wallet Credit,Purchase,$20.00 ,$20.00 ,$20.38 
,,Retail,,,
25-Dec-15,Pixel Piracy,Gift Purchase,$1.49 ,($1.49),$0.38 
,Picture,Wallet,,,
,Gift sent to Keek,,,,
24-Dec-15,Steam Community Market,16 Market Transactions,$0.69 ,$0.69 ,$1.87 
,,Wallet,Credit,,
23-Dec-15,Steam Community Market,20 Market Transactions,$1.13 ,$1.13 ,$1.18 
,,Wallet,Credit,,
23-Dec-15,Pixel Piracy,Purchase,$1.49 ,($1.49),$0.05 
,,Wallet,,,
22-Dec-15,Steam Community Market,7 Market Transactions,$0.51 ,$0.51 ,$1.54 
,,Wallet,Credit,,
12-Nov-15,Steam Community Market,Market Transaction,$0.07 ,$0.07 ,$1.03 
,,Wallet,Credit,,
5-Nov-15,Steam Community Market,2 Market Transactions,$0.28 ,$0.28 ,$0.96 
,,Wallet,Credit,,
3-Nov-15,Steam Community Market,Market Transaction,$0.10 ,$0.10 ,$0.68 
,,Wallet,Credit,,
23-Oct-15,Steam Community Market,2 Market Transactions,$0.26 ,$0.26 ,$0.58 
,,Wallet,Credit,,
6-Sep-15,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.32 
,,Wallet,Credit,,
23-Aug-15,PAYDAY 2 - Four Pack,Purchase,$14.99 ,,
,,Visa **65,,,
19-Aug-15,Steam Community Market,Market Transaction,$0.27 ,$0.27 ,$0.27 
,,Wallet,Credit,,
13-Jul-15,Terra Incognita ~ Chapter One: The Descendant,Purchase,$0.14 ,($0.14),$0.00 
,,Wallet,,,
20-Jun-15,Cities: Skylines Deluxe Edition,Purchase,$54.53 ,,
,The Escapists,Visa **65,,,
,Prison Architect Name in Game,,,,
2-Jun-15,Steam Community Market,Market Transaction,$0.05 ,$0.05 ,$0.14 
,,Wallet,Credit,,
28-Apr-15,Steam Community Market,Market Transaction,$0.09 ,$0.09 ,$0.09 
,,Wallet,Credit,,
26-Apr-15,Elder Scrolls V: Skyrim Legendary,Purchase,$13.59 ,,
,,Visa **65,,,
28-Mar-15,Democracy 3 Collector's Edition,Purchase,$19.98 ,,
,Microsoft Flight Simulator X: Steam Edition,Visa **65,,,
29-Jun-14,Garry's Mod,Purchase,$18.46 ,,
,Chivalry: Medieval Warfare,Discover **22,,,
,Goat Simulator,,,,
,Portal 2,,,,
30-Apr-14,Space Engineers,Gift Purchase,$19.99 ,,
,,MasterCard **95,,,
14-Sep-13,Kerbal Space Program,Purchase,$13.79 ,,
,,MasterCard **95,,,
4-Nov-12,Zombie Driver HD,Purchase,$9.99 ,,
,,PayPal,,,
,,,,,
